FID IID sex age
HG00096 EUR_HG00096 1 41.5230958346247
HG00097 EUR_HG00097 2 37.7572994607216
HG00099 EUR_HG00099 2 60.2804347535183
HG00100 EUR_HG00100 2 59.3193419336777
HG00101 EUR_HG00101 1 50.5741239586532
HG00102 EUR_HG00102 2 56.8897191685838
HG00103 EUR_HG00103 1 51.0048920380524
HG00104 EUR_HG00104 2 39.1542202024236
HG00106 EUR_HG00106 2 36.8611324020065
HG00108 EUR_HG00108 1 45.2044912880181
HG00109 EUR_HG00109 1 51.1291106018316
HG00110 EUR_HG00110 2 40.17124363666
HG00111 EUR_HG00111 2 61.6661018286241
HG00112 EUR_HG00112 1 41.7987326987573
HG00113 EUR_HG00113 1 35.2358245758024
HG00114 EUR_HG00114 1 41.8118359394349
HG00116 EUR_HG00116 1 33.6958205737457
HG00117 EUR_HG00117 1 32.9444434577589
HG00118 EUR_HG00118 2 58.3107387127424
HG00119 EUR_HG00119 1 58.2560830830544
HG00120 EUR_HG00120 2 51.1838505655365
HG00121 EUR_HG00121 2 39.9792676600334
HG00122 EUR_HG00122 2 27.4144190076771
HG00123 EUR_HG00123 2 57.4649886529529
HG00124 EUR_HG00124 2 48.847584972661
HG00125 EUR_HG00125 2 53.9323957585263
HG00126 EUR_HG00126 1 46.1392661875574
HG00127 EUR_HG00127 2 43.5313224566792
HG00128 EUR_HG00128 2 28.2369305548672
HG00129 EUR_HG00129 1 54.2194425254792
HG00130 EUR_HG00130 2 58.1152144304967
HG00131 EUR_HG00131 1 47.4043123488313
HG00133 EUR_HG00133 2 55.9177163851662
HG00134 EUR_HG00134 2 38.5044036813776
HG00135 EUR_HG00135 2 46.3528346489127
HG00136 EUR_HG00136 1 56.4065332714168
HG00137 EUR_HG00137 2 37.381173721706
HG00138 EUR_HG00138 1 48.3401008538451
HG00139 EUR_HG00139 1 61.3571807620802
HG00140 EUR_HG00140 1 66.2573464836694
HG00141 EUR_HG00141 1 49.7608051607892
HG00142 EUR_HG00142 1 48.7605661508274
HG00143 EUR_HG00143 1 38.1718628615196
HG00146 EUR_HG00146 2 42.5093132860112
HG00148 EUR_HG00148 1 55.5296079628087
HG00149 EUR_HG00149 1 57.682565236472
HG00150 EUR_HG00150 2 57.5127008995023
HG00151 EUR_HG00151 1 48.9248987322017
HG00152 EUR_HG00152 1 44.2489917100882
HG00154 EUR_HG00154 2 56.1923326371626
HG00155 EUR_HG00155 1 38.7205344384798
HG00156 EUR_HG00156 1 57.5605461326284
HG00158 EUR_HG00158 2 44.1598168609415
HG00159 EUR_HG00159 1 46.3310907703903
HG00160 EUR_HG00160 1 48.2514965494406
HG00171 EUR_HG00171 2 82.2417500709874
HG00173 EUR_HG00173 2 59.3866472275996
HG00174 EUR_HG00174 2 46.8692401714165
HG00176 EUR_HG00176 2 46.2494376270146
HG00177 EUR_HG00177 2 56.3395394808981
HG00178 EUR_HG00178 2 38.8199344683595
HG00179 EUR_HG00179 2 71.3789756399798
HG00180 EUR_HG00180 2 65.3210924365853
