FID IID Phenotype
HG00096 EUR_HG00096 9.48788844786099
HG00097 EUR_HG00097 8.97721473766233
HG00099 EUR_HG00099 11.2219167243237
HG00100 EUR_HG00100 10.7511505246373
HG00101 EUR_HG00101 9.04364342835556
HG00102 EUR_HG00102 9.48141707326297
HG00103 EUR_HG00103 9.61962709868884
HG00104 EUR_HG00104 7.40814953729099
HG00106 EUR_HG00106 7.67672970726924
HG00108 EUR_HG00108 9.35094281058076
HG00109 EUR_HG00109 9.99113714651507
HG00110 EUR_HG00110 7.79896961062546
HG00111 EUR_HG00111 11.2087278475089
HG00112 EUR_HG00112 10.9863060407463
HG00113 EUR_HG00113 9.93438028463639
HG00114 EUR_HG00114 8.70084486358983
HG00116 EUR_HG00116 8.10120859943552
HG00117 EUR_HG00117 9.73354526632473
HG00118 EUR_HG00118 12.0888025966084
HG00119 EUR_HG00119 11.5736239475711
HG00120 EUR_HG00120 9.61654049793016
HG00121 EUR_HG00121 7.81112837499444
HG00122 EUR_HG00122 7.66372394565251
HG00123 EUR_HG00123 8.77588245765959
HG00124 EUR_HG00124 9.71784297913547
HG00125 EUR_HG00125 9.10291490923659
HG00126 EUR_HG00126 9.65467890058669
HG00127 EUR_HG00127 10.0587821474653
HG00128 EUR_HG00128 7.3526852830252
HG00129 EUR_HG00129 11.904981613327
HG00130 EUR_HG00130 11.261006094044
HG00131 EUR_HG00131 10.1966664071014
HG00133 EUR_HG00133 11.5928836891403
HG00134 EUR_HG00134 7.77343696411946
HG00135 EUR_HG00135 8.18436670650342
HG00136 EUR_HG00136 13.3163521333849
HG00137 EUR_HG00137 7.45328092545283
HG00138 EUR_HG00138 8.4887162389898
HG00139 EUR_HG00139 9.75932654327981
HG00140 EUR_HG00140 12.1052517818698
HG00141 EUR_HG00141 10.9552286225719
HG00142 EUR_HG00142 10.8329460711798
HG00143 EUR_HG00143 9.6480819640817
HG00146 EUR_HG00146 8.56957346735846
HG00148 EUR_HG00148 11.7429304078816
HG00149 EUR_HG00149 8.34835197423336
HG00150 EUR_HG00150 11.8208980232902
HG00151 EUR_HG00151 11.1979070029151
HG00152 EUR_HG00152 8.86445081990266
HG00154 EUR_HG00154 10.6756267611072
HG00155 EUR_HG00155 10.728412783423
HG00156 EUR_HG00156 12.8419192704582
HG00158 EUR_HG00158 8.90199471050609
HG00159 EUR_HG00159 9.28264763921507
HG00160 EUR_HG00160 10.7135911196842
HG00171 EUR_HG00171 10.1689085152244
HG00173 EUR_HG00173 10.6465148415922
HG00174 EUR_HG00174 8.9757641350787
HG00176 EUR_HG00176 8.89720156641113
HG00177 EUR_HG00177 8.77605961734754
HG00178 EUR_HG00178 6.71312817011275
HG00179 EUR_HG00179 12.343516364779
HG00180 EUR_HG00180 10.4261255978162
HG00182 EUR_HG00182 11.3249207564351
HG00183 EUR_HG00183 9.68963618392773
HG00185 EUR_HG00185 11.698290993504
HG00186 EUR_HG00186 8.77611758720879
HG00187 EUR_HG00187 9.28662039426995
HG00188 EUR_HG00188 9.87664907303733
HG00189 EUR_HG00189 11.9888849377996
HG00190 EUR_HG00190 12.5341216655861
HG00231 EUR_HG00231 8.94761135451689
HG00232 EUR_HG00232 8.19258210362064
HG00233 EUR_HG00233 6.9791567600978
HG00234 EUR_HG00234 12.9359501017698
HG00235 EUR_HG00235 10.2728742762861
HG00236 EUR_HG00236 7.64409656519436
HG00237 EUR_HG00237 10.6230047032019
HG00238 EUR_HG00238 11.8367748256979
HG00239 EUR_HG00239 8.42481311701448
HG00240 EUR_HG00240 9.39250965770625
HG00242 EUR_HG00242 8.33749900142237
HG00243 EUR_HG00243 12.4601404850577
HG00244 EUR_HG00244 9.3066236058741
HG00245 EUR_HG00245 10.9710543221748
HG00246 EUR_HG00246 9.00856871454281
HG00247 EUR_HG00247 11.3249941444087
HG00249 EUR_HG00249 9.65612877333668
HG00250 EUR_HG00250 10.8477938561974
HG00251 EUR_HG00251 12.0430316019956
HG00252 EUR_HG00252 12.6302173510925
HG00253 EUR_HG00253 9.26300651091415
HG00254 EUR_HG00254 8.26908621486208
HG00255 EUR_HG00255 9.3766828449397
HG00256 EUR_HG00256 11.646643002148
HG00257 EUR_HG00257 7.4213036229539
HG00258 EUR_HG00258 11.5929624545249
HG00259 EUR_HG00259 7.08276437292932
HG00260 EUR_HG00260 9.62188692177839
HG00261 EUR_HG00261 8.32065796974995
HG00262 EUR_HG00262 8.32176705112715
HG00263 EUR_HG00263 9.87269526142966
HG00264 EUR_HG00264 11.080161842192
HG00265 EUR_HG00265 11.8564495946477
HG00266 EUR_HG00266 9.96791346172989
HG00267 EUR_HG00267 9.82877237538971
HG00268 EUR_HG00268 10.5291800630752
HG00269 EUR_HG00269 9.69120167687
HG00270 EUR_HG00270 10.2564924526257
HG00271 EUR_HG00271 9.824955127335
HG00272 EUR_HG00272 9.40180183756178
HG00273 EUR_HG00273 9.30793600787159
HG00274 EUR_HG00274 9.57818867910007
HG00275 EUR_HG00275 8.50901218235977
HG00276 EUR_HG00276 10.1939001001429
HG00277 EUR_HG00277 10.0603871833815
HG00278 EUR_HG00278 9.80265286128598
HG00280 EUR_HG00280 6.49714650095749
HG00281 EUR_HG00281 12.0954789164101
HG00282 EUR_HG00282 7.73559823836354
HG00284 EUR_HG00284 10.9774427016056
HG00285 EUR_HG00285 9.07799180901204
HG00306 EUR_HG00306 8.79010374926302
HG00309 EUR_HG00309 9.98890891182448
HG00310 EUR_HG00310 10.263170387728
HG00311 EUR_HG00311 9.22136457249362
HG00312 EUR_HG00312 8.36549013932837
HG00313 EUR_HG00313 10.25006497219
HG00315 EUR_HG00315 8.79569422004169
HG00318 EUR_HG00318 9.52951442720162
HG00319 EUR_HG00319 11.4221175527647
HG00320 EUR_HG00320 11.7313644159568
HG00321 EUR_HG00321 8.96463059002659
HG00323 EUR_HG00323 9.16152709049817
HG00324 EUR_HG00324 11.1851107327546
HG00325 EUR_HG00325 10.434348980237
HG00326 EUR_HG00326 8.10786131391581
HG00327 EUR_HG00327 9.56825225511054
HG00328 EUR_HG00328 8.78587423505964
HG00329 EUR_HG00329 9.53494791456958
HG00330 EUR_HG00330 11.5158437243114
HG00331 EUR_HG00331 11.3005648937182
HG00332 EUR_HG00332 8.91930476704344
HG00334 EUR_HG00334 11.5378151807172
HG00335 EUR_HG00335 11.9976084897161
HG00336 EUR_HG00336 10.8661639868163
HG00337 EUR_HG00337 10.4901186733829
HG00338 EUR_HG00338 10.4665773751653
HG00339 EUR_HG00339 9.38260932927766
HG00341 EUR_HG00341 10.5346598084542
HG00342 EUR_HG00342 10.7829453289068
HG00343 EUR_HG00343 7.9758119850418
HG00344 EUR_HG00344 10.340433234372
HG00345 EUR_HG00345 12.5858821156978
HG00346 EUR_HG00346 9.4495396177321
HG00349 EUR_HG00349 10.1209752770154
HG00350 EUR_HG00350 9.33555263713709
HG00351 EUR_HG00351 10.4316661395764
HG00353 EUR_HG00353 9.01589445038648
HG00355 EUR_HG00355 9.28802645555317
HG00356 EUR_HG00356 10.4439819755607
HG00357 EUR_HG00357 9.70457111876261
HG00358 EUR_HG00358 8.52185581895912
HG00359 EUR_HG00359 8.12324437943045
HG00360 EUR_HG00360 9.07710552246156
HG00361 EUR_HG00361 9.41418380580358
HG00362 EUR_HG00362 9.52502897707121
HG00364 EUR_HG00364 8.61865979918319
HG00366 EUR_HG00366 11.0230283492426
HG00367 EUR_HG00367 7.50709985922959
HG00369 EUR_HG00369 12.9183974994258
HG00372 EUR_HG00372 11.8420566287324
HG00373 EUR_HG00373 9.28518840522807
HG00375 EUR_HG00375 11.6570657242963
HG00376 EUR_HG00376 10.5817922318294
HG00377 EUR_HG00377 6.99164045835117
HG00378 EUR_HG00378 10.3568453027135
HG00381 EUR_HG00381 10.3052772085831
HG00382 EUR_HG00382 12.267352362728
HG00383 EUR_HG00383 10.5155723824694
HG00384 EUR_HG00384 10.9073555307699
HG00403 ASN_HG00403 9.42275827795397
HG00404 ASN_HG00404 8.25165951086518
HG00406 ASN_HG00406 10.917752203477
HG00407 ASN_HG00407 9.18149957169888
HG00418 ASN_HG00418 8.63043126456552
HG00419 ASN_HG00419 8.04764161860279
HG00421 ASN_HG00421 11.2795317963653
HG00422 ASN_HG00422 8.59017102334264
HG00427 ASN_HG00427 6.95014050148682
HG00428 ASN_HG00428 10.2539206596395
HG00436 ASN_HG00436 11.4088852880949
HG00437 ASN_HG00437 10.1019887005271
HG00442 ASN_HG00442 10.2424619944046
HG00443 ASN_HG00443 7.97504881411614
HG00445 ASN_HG00445 14.0066903196382
HG00446 ASN_HG00446 10.538270677218
HG00448 ASN_HG00448 9.64721304803319
HG00449 ASN_HG00449 8.09459994790373
HG00451 ASN_HG00451 9.22718062004854
HG00452 ASN_HG00452 8.87434041263211
